bssid,zone
00:1f:45:64:16:c8,1
00:1f:45:6c:9a:f8,1
00:1f:45:64:16:c0,2
00:1f:45:64:17:08,2
00:1f:45:64:48:b0,2
00:1f:45:64:58:a8,2
00:1f:45:6c:9a:f0,2
00:1f:45:6c:87:b0,3
00:1f:45:6c:87:b8,3
00:1f:45:6c:8e:30,3
00:1f:45:6c:8e:38,3
00:1f:45:6c:fe:10,4
00:1F:45:6C:FE:18,4
00:1f:45:64:17:e8,5
00:1f:45:e6:ba:aa,5
00:1f:45:64:0f:28,6
00:1f:45:64:17:e0,6
00:1f:45:64:63:f0,6
00:1f:45:64:63:f8,6
00:1f:45:6c:83:c0,6
00:1f:45:6d:0a:20,6
00:1f:45:6d:0a:28,6
